"COD_INFRACCION","DESC_INFRACCION","sum_sum_CANTIDAD_INFRACCIONES"
"B01","Conducir un vehículo sin llevar consigo la licencia de conducción","113637"
"C35","""No realizar la revisión técnico-mecánica y de emisiones contaminantes en los siguientes plazos o cuando aun portando los certificados correspondientes no cuenta con las siguientes condiciones técnico mecánica y de emisiones contaminantes, además el vehículo será inmovilizado""","80842"
"C14","""Transitar por los siguientes sitios restringidos o en horas prohibidas por la autoridad competente.  Además, el vehículo será inmovilizado""","65934"
"C24","Conducir motocicleta sin observar las siguientes normas","53942"
"H03","""El conductor, pasajero o peatón, que obstaculice, perjudique o ponga en riesgo a las demás personas o que no cumplan las normas y señales de tránsito que les sean aplicables o no obedezca las indicaciones que les den las autoridades de tránsito""","49282"
"C02","Estacionar un vehículo en los sitios prohibidos","43156"
"H02","""El conductor que no porte la licencia de tránsito, además el vehículo será inmovilizado""","36740"
"D02","""Conducir sin portar el Seguro Obligatorio de Accidentes de tránsito ordenado por la ley. Además, el vehículo será inmovilizado""","28988"
"C31","No acatar las señales de tránsito o requerimientos impartidos por los agentes de tránsito","24891"
"D12","""Conducir un vehículo que, sin la debida autorización se destine a un servicio diferente de aquel para la cual tiene licencia de tránsito.  Además el vehículo será inmovilizado por primera vez por el término de cinco días, por segunda vez veinte días y por tercera vez cuarenta días""","24035"
"H13","Las demás conductas que constituyan infracción a las normas de tránsito y que no se encuentren descritas en este acto administrativo","23338"
"B02","Conducir un vehículo con la licencia de conducción vencida","19108"
"F06","Actuar de manera que ponga en peligro su integridad física","18002"
"D01","""Guiar un vehículo sin haber obtenido la licencia de conducción correspondiente. Además, el vehículo será inmovilizado en el lugar de los hechos hasta que éste sea retirado por una persona autorizada por el infractor que tenga licencia de conducción""","15478"
"B15","Conducir un vehículo de servicio público que no lleve el aviso de tarifas oficiales en condiciones de fácil lectura para los pasajeros o poseer este aviso deteriorado o adulterado","14279"
"A11","Transitar por zonas restringidas o por vías de alta velocidad como autopistas y arterias","13927"
"G02","""Los peatones y ciclistas que no cumplan con las disposiciones del Código, serán amonestados serán amonestados por la autoridad de tránsito competente y deberán asistir a un curso informativo dictado por las autoridades de tránsito""","13625"
"C38","""Usar sistemas móviles de comunicaciones o teléfonos instalados en los vehículos al momento de conducir, exceptuando si éstos son utilizados con accesorios o equipos auxiliares que permitan tener las manos libres""","12644"
"590","""Cuando se compruebe que el equipo está prestando un servicio no autorizado, entendiéndose como aquel servicio que se preta a través de un vehículo automotor de servicio público sin el permiso, o cuando se preste contrariando las condiciones iniciales.""","12157"
"A05","No respetar las señales de tránsito","10618"
"C06","No utilizar el cinturón de seguridad por parte de los ocupantes del vehículo y los cinturones de seguridad en los asientos traseros en los vehículos fabricados a partir del año 2004","10357"
